covariate_id,covariate_name,covariate_description,contributing_paper_ids,n_studies,model_form,effect_direction,median_coef,coef_p10,coef_p90,coef_unit,interpretation,i_squared_pct,heterogeneity_level,applies_to_cells,status,notes
CV01,packages_per_stop,Number of packages delivered at the stop,,0,log-linear,positive,,,,log(seconds) per additional package,"Each additional package multiplies service time by exp(coef)",,,,pending,Most consistently reported covariate across literature
CV02,cube_m3,Total volume of packages in cubic metres,,0,log-linear,positive,,,,log(seconds) per m³,"Cube effect over and above package count — heavier/larger items",,,,pending,Less consistently reported; some studies use weight instead
CV03,signature_required,Binary: 1 if any package requires signature,,0,log-linear,positive,,,,log(seconds) additive,"Signature adds fixed time for customer availability + paperwork",,,,pending,Strong consistent positive effect across all studies
CV04,stop_type_mdu,Binary: 1 if MDU/apartment (vs residential SFD baseline),,0,log-linear,positive,,,,log(seconds) additive,"MDU requires lobby navigation, lift, finding unit",,,,pending,One of the largest effect sizes in the literature
CV05,stop_type_commercial,Binary: 1 if commercial (vs residential SFD baseline),,0,log-linear,negative,,,,log(seconds) additive,"Commercial typically faster per package if someone present to receive",,,,pending,Direction varies - can be positive if secured/staffed
CV06,geography_cbd,Binary: 1 if CBD/dense urban (vs suburban baseline),,0,log-linear,positive,,,,log(seconds) additive,"CBD adds time for parking distance, lobby security, access",,,,pending,Separate from stop type - geography effect independent
CV07,geography_rural,Binary: 1 if rural (vs suburban baseline),,0,log-linear,negative,,,,log(seconds) additive,"Rural: easy access but potentially different building types",,,,pending,USPS OIG key source for this covariate
CV08,time_of_day_morning,Binary or continuous: peak morning period,,0,log-linear,negative,,,,log(seconds) additive,"Morning deliveries faster - recipients more available; less fatigue",,,,pending,Time-of-day effects documented but vary by network type
CV09,sorted_state,Binary: 1 if packages sorted to delivery sequence,,0,log-linear,negative,,,,log(seconds) additive,"Our key model parameter - sorted packages reduce search/handling time at stop",,,,pending,This is the core β for our model - currently synthetic at -0.12 log units
CV10,building_access_difficulty,Ordinal 1-3: easy/moderate/difficult access,,0,log-linear,positive,,,,log(seconds) per unit,"Secured buildings, intercom, distant parking all add time",,,,pending,Less commonly modelled explicitly; often absorbed into MDU/CBD dummies
CV11,walk_distance_m,Walking distance from vehicle park to door (metres),,0,linear,positive,,,,seconds per metre,"Direct walk time component - key in dense urban",,,,pending,Urban Freight Lab Seattle papers key source for this
